NOMBRE;OPERADOR;ETAPA;PAIS;REGION;COMUNA;ESTE_WGS;NORTE_WGS;TIPO_DEPOSITO;MINERALIZACION_HOSPEDADA;TAMAÑO_DEP;AREA_Km2;EDAD_Ma;EDAD_GEOLOGICA;ACT_HIDROT_Ma;CONTROL_ESTRUCT;INTRUSIVO;UGM;Cu;Mo;Ag;Au;Fe;PRODUCCION;TIPO_PRODUC;CANT_PROD_M;CANT_PROD_A;RECURSOS_CU;RESERVAS_CU;LEY_CU;LEY_MO;LEY_AU;MIN_MENA_1;MIN_MENA_2;%_MENA;%_PIRITA;%_Fe;MIN_GANGA_1;MIN_GANGA_2;%_GANGA;MIN_ALT ;%_ALT;TIPO_ALT_1;TIPO_ALT_2;LITO_1;LITO_2;FUENTE_1;FUENTE_2;CONTACT_NOMB;CONTACT_MAIL
Pampa Camarones;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cerro Colorado;;;;;;472839;7783549;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sagasca;;;;;;466372;7768161;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quebrada Blanca;Teck Resources Ltda. (60%), Sumitomo (30%), ENAMI (10%);Mina;Chile;Tarapaca;Pica;520786;7677839;Porfido Cu-Mo;Stockwork;Grande;1,4x0,65;300;Carbonífero-Pérmico;35-40;Falla Quebrada Blanca, Sistema de fallas Domeyko;Complejo Plutónico Quebrada Blanca, Formación Collahuasi;4;Cu;Mo;;Au;;Cu, Mo;Óxidos y Súlfuros de Cu;;;1.030 Mt;;0,5% CuT;0,02% Mo;0,031 g/t Au;Atacamita, chalcantita, crisocola;Calcopirita, covelina, molibdenita, calcosina;;;;Pirita;Biotita secundaria;;Cuarzo, óxido de manganeso, pirita, turmalina, yeso, magnetita, feldespato-K, biotita secundaria;;Sericítica;Potásica;Granodiorita;;https://www.internationalpbx.com/pdfs/Teck_QB_43-101.pdf;https://www.geokniga.org/bookfiles/geokniga-11collahuasi-district-chilemasterman.pdf;;
Collahuasi;Anglo American (44%), Glencore (44%), Mitsui (12%);Mina;Chile;Tarapaca;Pica;530320;7681914;Porfido Cu-Mo;Stockwork;Muy Grande;2x1,5;41-34;Eoceno;34-32;Falla Loa, Falla Oeste, Sistema de Fallas Domeyko;Pórfido Collahuasi, Pórfido Inés;2;Cu;Mo;;Au;;Cu, Mo;Oxidos y Súlfuros de Cu;45.2 Ktmf (Feb 2024);573.2 Ktmf (2023);3.108 Mt (2004);410 Mt (2004);0,82% CuT;0,024% Mo;0,01 g/t Au;Brochantita, copper wad, copper pitch, crisocola, cuprita;Bornita, calcopirita, calcosina, covelina, esfalerita, molibdenita;;;;Pirita;Enargita;;Cuarzo, alunita, biotita secundaria, albita, pirofilita;;Potásica;Propilítica;;;http://repositorio.udec.cl/jspui/handle/11594/2661;https://www.geokniga.org/bookfiles/geokniga-11collahuasi-district-chilemasterman.pdf;;
El Abra;Freeport-McMoran (51%), CODELCO (49%);Mina;Chile;Antofagasta;Calama;517299;7575957;Porfido Cu-Mo;Brechas hidrotermales. Stockwork;Grande;3,46x1,8;45,6-37,16;Eoceno Medio-Paleógeno;8,6;Falla Oeste;Complejo de Granodiorita El Abra y Diorita Pajonal, Granodiorita Clara;;Cu;;;;;Cu;Oxidos y Sulfuros de Cu;7.1 Ktmf (Feb 2024);91.649 ton Cu (2022);1222 Mt (2018);800 Mt;0,61% Cu;;;Calcopirita, bornita, molibdenita, calcosina;Crisocola, atacamita, antlerita, cuprita;;;;Limonita;Magnetita;;Cuazo, feldespato-K, magnetita, pirita;;Potásica;Argílica;Granodiorita;Diorita;https://www.researchgate.net/publication/288665902_Geologia_de_la_Precordillera_Andina_de_Quebrada_Blanca-Chuquicamata_Regiones_I_y_II_2030'-2230'S;https://www.codelco.com/memoria2018/site/docs/20190409/20190409120637/memoria_anual_codelco_2018_95_102_recursos_y_reservas_minerales.pdf;;
Radomiro Tomic;CODELCO;Mina;Chile;Antofagasta;Calama;512024;7542018;Porfido Cu-Mo;Diseminado y en vetillas;Muy Grande;5x1;42-31;Eoceno Superior-Oligoceno temprano;32,7-31,8;Falla Oeste, Zona de deformación Este, Falla Portezuelo;"Complejo Porfidico Chuquicamata (""Porfido Chuqui"")";2;Cu;Mo;;;;Cu, Mo;Oxidos de Cobre;24 Ktmf (Feb 2024);301.062 ton Cu (2022);5292 Mt, 0,43% CuT;1.390 Mt, 0,49% CuT;0.5% CuT;90 ppm;;Pirita, (calcopirita), bornita-calcopirita, atacamita, crisocola, arcillas de cobre;Calcopirita-pirita, calcosina, covelina, copper wad;Crisocola: 62.53%, Copper wad: 62.44%, Arcillas de cobre: 39.44%, Atacamita: 37.69%. Py 35-80%, Cpy 20-65%, Bo: >65% y Bo-Cpy: 35-65%;;;Limonita;;<0.2% CuT;Cuarzo, feldespato-K, biotita, sericita, (caolinita);>0.2% CuT y CuS/CuT >60%;Potásica;Sericítica;Granodiorita;Monzodiorita cuarcifera;https://repositorio.uchile.cl/bitstream/handle/2250/103419/cornejo_j.pdf?sequence=3&isAllowed=y;http://repositorio.udec.cl/handle/11594/324;;
Chuquicamata;CODELCO;Mina;Chile;Antofagasta;Calama;510302;7536730;Porfido Cu-Mo;Vetas y Stockworks;Muy Grande;6x4;36-33,5;Eoceno Medio-Paleogeno;32;Sistema de Fallas de Domeyko. Falla Oeste  ;Complejo Intrusivo Chuquicamata (Oriente, Occidente y Banco porfidos);;Cu;Mo;Ag;(Au);;Cu;Oxidos y Sulfuros de Cu;16 Ktmf (Feb 2024);366.000 ton Cu. 18.000 ton Mo.;2.619 Mt 0,62% CuT;1.028 Mt CuT. 1.700 Mt CuT subterraneo;0,82%. 0,7% Subterraneo;502 ppm subterraneo;;Calcopirita, bornita, molibdenita, esfalerita, galena, covelina, digenita;Atacamita, brochantita, antlerita, cuprita, copper wad;;;;Limonita;Anhidrita;<02.% CuT;Anhidrita, carbonato, cuarzo, hematita, limonita, sílice, yeso, pirita;;Potásica;Sericítica;Porfido Granodioritico;Granodiorita;https://www.researchgate.net/publication/246315124_Geology_of_the_Chuquicamata_Mine_A_Progress_Report;;;
Ministro Hales;CODELCO;Mina;Chile;Antofagasta;Calama;508923;7525237;Porfido Cu-(Mo);Brechas hidrotermales;Grande;7x0,320 ;35.53;Eoceno Medio-Paleogeno;32;Sistema de Fallas de Domeyko. Falla Oeste;Porfido MM y Porfido Cuarcifero emplazados en la Granodiorita MM y rocas volcanicas del basamento;;Cu;;Ag;;;Cu, Ag;Oxidos y Súlfuros de Cu;6.8 Ktmf (Feb 2024);152.167 ton Cu (2022);1.578 Mt ;378 Mt;0,84% CuT (2021);;;Bornita;Calcopirita, Idaita, Digenita, Calcosina, Magnetita, Crisocola, Malaquita, Cuprita, Cu nativo;;;;Hematita;Rutilo;;Feldespato-K, anhidrita, sericita, biotita secundaria, pirita;;Potásica;Sericítica;Granodiorita;Granito;;;;
Quetena y cluster Toki;CODELCO;Evaluación de Factibilidad;Chile;Antofagasta;Calama;505146;7521052;Porfido Cu-(Mo);Stockwork de vetillas A y D;Grande;;37.5;Eoceno Tardío;37-34;Falla Oeste, Sistema de Fallas de Domeyko;Complejo granodioritico Fortuna, Complejo Monzodioritico Los Picos, Pórfido San Lorenzo;;Cu;Mo;Ag;;;Cu, Mo;Oxidos y Súlfuros de Cu;;;4.977.973 Mton;;0,37 %CuT;;;Bornita (digenita), Calcopirita, covelina, calcosina;Malaquita, crisocola, atacamita, copper wad;;;;Clorita;Sericita;;pirita,Clorita, Sericita, Feldespato-K, Biotita secundaria;;Potásica;Sericítica;Monzodiorita;Tonalita;https://repositorio.uchile.cl/bitstream/handle/2250/144536/Evaluaci%C3%B3n-de-una-explotacion-combinada-de-los-recursos-de-los-Yacimientos-Toki-y-Quetena.pdf?sequence=1&isAllowed=y;https://www.researchgate.net/publication/257331416_Timing_and_formation_of_porphyry_Cu-Mo_mineralization_in_the_Chuquicamata_district_northern_Chile_New_constraints_from_the_Toki_cluster;;
