Marca temporal,"1.- Datos demográficos del cliente
¿Qué edad tiene?:",2.- Género:,3.- ¿Qué nivel educativo tiene?,4.- ¿Cuántos miembros compone su familia?,5.- ¿Con qué frecuencia conduce?,6.- ¿Qué tipo de carreteras utiliza con más frecuencia?,7.- ¿Con qué frecuencia conduce por la noche?,8.- ¿Qué tan preocupado está por la seguridad de sus vehículos y activos?,9.- ¿Ha sido víctima de algún robo o hurto en los últimos 5 años?,10.- ¿Qué le motiva a comprar un servicio de rastreo satelital?,"11.- Si tuviera Ud. Rastreo Satelital, ¿Qué considera importante rastrear?",12.- ¿Con qué frecuencia utilizaría el rastreo satelital?,13.- ¿Qué características del servicio de rastreo satelital son mas importantes para Ud.?,14.- ¿Cómo Ud se enteró que existe el servicio de rastreo satelital?,15.- ¿Qué otras soluciones de seguridad utiliza en su vehículo?,16.- ¿Qué considera Ud. que necesita una aplicación móvil para rastrear vehículos y activos?,17.- ¿Qué tipo de beneficios busca al utilizar un servicio de rastreo satelital?,18.- ¿Ha recibido alguna vez alertas de seguridad o emergencias relacionadas con su ubicación?,19.- ¿Conoce Ud. el proceso para adquirir un servicio de rastreo satelital?,20.- ¿Prefiere comprar el rastreo satelital en efectivo o a crédito?,21.- ¿Ha tenido alguna vez problemas con el robo o la pérdida de sus vehículos?,22.- ¿Qué tan importante es para usted tener acceso a la información en tiempo real sobre la ubicación de sus vehículos o activos?,23.- ¿Qué empresas de rastreo satelital conoce?
2024/05/01 4:53:50 p. m. GMT-5,25 a 35 años,Femenino,Universitario,1-3 miembros,Diariamente,Autopistas,Nunca,Preocupado,No,Tranquilidad,Rastreo de vehículos,Diariamente,Precisión de rastreo,Publicidad en redes sociales o plataformas digitales,Ninguna,GPS Tracker – Video tracking,Monitoreo en tiempo real,No,Si,Crédito,Si,Importartante,Rastreo 365
2024/05/01 4:54:51 p. m. GMT-5,25 a 35 años,Masculino,Posgrado,4-6 miembros,Diariamente,Calles urbanas,Diariamente,Neutral,No,Seguridad,Rastreo de vehículos;Rastreo de mercadería;Rastreo de personas,Diariamente,Precisión de rastreo;Facilidad de uso;Funciones de los informes;Precios y Beneficios;Atención al cliente,Recomendación de un amigo o familiar,Sistemas de alarma,GPS Tracker – Video tracking,Protección de sus vehículos;Monitoreo en tiempo real;Alertas de emergencia;Geocercas e Imágenes en 3D,No,No,Crédito,No,Importartante,Rastreo365
2024/05/01 4:56:25 p. m. GMT-5,35 a 44 años,Femenino,Universitario,4-6 miembros,Nunca,Bus,Nunca,Neutral,No,Seguridad,Rastreo de vehículos;Rastreo de personas,Diariamente,Facilidad de uso,Recomendación de un amigo o familiar,Sistemas de alarma,Imágenes en 3D,Protección de sus vehículos,No,Si,Efectivo,No,Importartante,Hunter
2024/05/01 5:00:05 p. m. GMT-5,45 a 54 años,Masculino,Universitario,1-3 miembros,Una vez a la semana,Calles urbanas,Nunca,Preocupado,No,Seguridad,Rastreo de vehículos,Mensualmente,Precisión de rastreo,Publicidad en redes sociales o plataformas digitales,Sistemas de alarma,GPS Tracker – Video tracking,Protección de sus vehículos,No,Si,Efectivo,No,Importartante,Rastreo 365
2024/05/01 5:00:08 p. m. GMT-5,45 a 54 años,Femenino,Técnico,4-6 miembros,Una vez a la semana,Caminos rurales,Diariamente,Neutral,No,Seguridad,Rastreo de vehículos,Diariamente,Facilidad de uso,Recomendación de un amigo o familiar,Sistemas de alarma,Compartir ubicación en tiempo real,Monitoreo en tiempo real,Si,No,Crédito,No,Importartante,No conozco 
2024/05/01 5:05:30 p. m. GMT-5,35 a 44 años,Masculino,Secundaria,4-6 miembros,Diariamente,Calles urbanas,Ocasionalmente,Preocupado,No,Seguridad,Rastreo de vehículos;Rastreo de personas,Diariamente,Precisión de rastreo,Publicidad en redes sociales o plataformas digitales,Control de acceso automático y remoto,GPS Tracker – Video tracking,Protección de sus vehículos,Si,Si,Efectivo,No,Importartante,Onstar
2024/05/01 5:05:49 p. m. GMT-5,45 a 54 años,Masculino,Secundaria,1-3 miembros,Varias veces a la semana,Bus,Ocasionalmente,Preocupado,Si,Seguridad,Rastreo de vehículos,Diariamente,Precios y Beneficios,Publicidad en redes sociales o plataformas digitales,Sistemas de alarma,Imágenes en 3D,Protección de sus vehículos;Monitoreo en tiempo real,No,Si,Crédito,No,Importartante,Algunas 
2024/05/01 5:09:14 p. m. GMT-5,45 a 54 años,Masculino,Técnico,4-6 miembros,Diariamente,Calles urbanas,Ocasionalmente,Preocupado,Si,Seguridad,Rastreo de vehículos,Diariamente,Precisión de rastreo,Recomendación de un amigo o familiar,Sistemas de alarma,Compartir ubicación en tiempo real,Protección de sus vehículos,No,Si,Crédito,Si,Importartante,Tracking
2024/05/01 5:15:51 p. m. GMT-5,35 a 44 años,Femenino,Posgrado,7 o más miembros,Diariamente,Autopistas,Varias veces a la semana,Preocupado,No,Seguridad,Rastreo de vehículos,Diariamente,Precisión de rastreo;Facilidad de uso;Precios y Beneficios,Recomendación de un amigo o familiar,Sistemas de alarma;Cámaras de seguridad;Control de acceso automático y remoto;Ninguna,GPS Tracker – Video tracking,Protección de sus vehículos;Monitoreo en tiempo real;Alertas de emergencia;Informes detallados;Geocercas e Imágenes en 3D,Si,Si,Efectivo,No,Importartante,Hunter
2024/05/01 5:16:15 p. m. GMT-5,25 a 35 años,Masculino,Universitario,1-3 miembros,Diariamente,Bus,Ocasionalmente,Preocupado,Si,Seguridad,Rastreo de vehículos;Rastreo de mercadería;Rastreo de personas,Diariamente,Precisión de rastreo;Facilidad de uso,Publicidad en redes sociales o plataformas digitales,Sistemas de alarma;Control de acceso automático y remoto,Compartir ubicación en tiempo real,Protección de sus vehículos;Monitoreo en tiempo real;Geocercas e Imágenes en 3D,Si,Si,Crédito,Si,Importartante,Gps
